"topic","weight","doc"
11,0.6159,36651
11,0.6093,34330
11,0.6069,38531
11,0.6056,26347
11,0.5985,11724
11,0.5972,8333
11,0.5939,12708
11,0.5861,19888
11,0.586,31172
11,0.5853,30792
11,0.5794,13067
11,0.5794,6188
11,0.5792,27599
11,0.5754,27461
11,0.5722,24606
11,0.5677,27209
11,0.5637,36047
11,0.5546,38945
11,0.5503,10849
11,0.5453,31078
11,0.5389,11319
11,0.5387,31370
11,0.5351,29378
11,0.5328,11619
11,0.5324,38383
11,0.5307,12629
11,0.5292,34130
11,0.529,21345
12,0.9158,4951
12,0.907,8589
12,0.9018,8628
12,0.8953,6949
12,0.8948,5156
12,0.8721,28866
12,0.8716,697
12,0.8608,37036
12,0.8433,6655
12,0.8417,5109
12,0.8389,482
12,0.8333,1758
12,0.8333,21941
12,0.8284,1415
12,0.8197,40152
12,0.8178,989
12,0.8135,6916
12,0.8129,7744
12,0.8115,420
12,0.8092,364
12,0.8092,533
12,0.8074,5051
12,0.8052,5197
12,0.804,1902
12,0.7996,481
12,0.7989,9005
12,0.7946,8868
12,0.7946,20410
12,0.7939,4529
12,0.7883,35424
12,0.7883,11046
12,0.7815,220
12,0.7804,5409
12,0.7786,39918
12,0.7784,1984
12,0.7756,7487
12,0.7735,8512
12,0.7714,8525
12,0.7713,1207
12,0.7702,3780
12,0.7694,8364
12,0.7659,5016
12,0.7655,867
12,0.7644,3734
12,0.7633,27566
12,0.7613,38636
12,0.7602,27464
12,0.759,39453
12,0.7585,846
12,0.7552,7058
13,0.8784,35742
13,0.8407,38092
13,0.8374,11217
13,0.784,5580
13,0.7535,37926
13,0.7303,37803
13,0.7222,39692
13,0.719,29339
13,0.7157,40052
13,0.7151,22271
13,0.7118,29344
13,0.7099,12415
13,0.7056,21905
13,0.6991,10456
13,0.693,39572
13,0.6867,18749
13,0.6844,38716
13,0.6814,25978
13,0.6802,5453
13,0.6746,11833
13,0.6728,36629
13,0.6709,8530
13,0.6696,31744
13,0.6626,30208
13,0.6603,23934
13,0.6603,36476
13,0.6583,19103
13,0.6548,39356
13,0.6505,8046
13,0.6488,23614
13,0.6488,35501
13,0.6453,21009
13,0.6435,14028
13,0.6414,12601
13,0.6378,25686
13,0.6358,17395
13,0.6354,37921
13,0.6319,27211
13,0.6319,36322
13,0.6302,36311
13,0.6292,31211
13,0.6264,37628
13,0.6264,39108
13,0.6236,36994
13,0.6218,6815
13,0.6218,14287
13,0.6218,27821
13,0.6218,33629
13,0.6218,35291
13,0.6218,17339
14,0.784,24072
14,0.7151,10134
14,0.6894,13178
14,0.6728,32523
14,0.6717,18188
14,0.6654,5839
14,0.6641,37370
14,0.6565,35448
14,0.6542,24260
14,0.6532,22839
14,0.6467,31005
14,0.6466,25461
14,0.6333,20844
14,0.6319,11628
14,0.6282,39058
14,0.6255,36436
14,0.6218,19136
14,0.6199,34925
14,0.6174,13812
14,0.6069,8504
14,0.6056,36485
14,0.6048,18520
14,0.6033,33299
14,0.6026,21150
14,0.5991,32134
14,0.5957,10209
14,0.594,9220
14,0.5934,8549
14,0.5931,26315
14,0.5894,33414
14,0.5881,11939
14,0.5877,31638
14,0.5877,176
14,0.5833,20157
14,0.5808,3667
14,0.5794,16333
14,0.5794,24712
14,0.5794,32071
14,0.5794,32611
14,0.5762,15836
14,0.5754,35063
14,0.5725,10156
14,0.5722,9661
14,0.5722,27046
14,0.5694,28980
14,0.5677,10754
14,0.5677,14181
14,0.5677,32161
14,0.5648,18094
14,0.5633,12462
15,0.8487,23465
15,0.7731,9459
15,0.7722,20378
15,0.7667,18571
15,0.7465,31750
15,0.7464,35038
15,0.7464,38395
15,0.7386,24156
15,0.7348,25959
15,0.7215,23290
15,0.7189,14420
15,0.7153,38869
15,0.7149,13220
15,0.7147,10531
15,0.7099,27557
15,0.7052,23860
15,0.7042,24605
15,0.7029,36155
15,0.6987,33298
15,0.6973,25683
15,0.6959,24412
15,0.693,13232
15,0.693,15127
15,0.693,36277
15,0.691,33306
15,0.6866,15842
15,0.6845,15033
15,0.6802,14631
15,0.6771,10546
15,0.6722,21802
15,0.6717,11692
15,0.6709,13344
15,0.6704,20963
15,0.6704,25559
15,0.6678,10920
15,0.6651,21544
15,0.6645,24978
15,0.6631,21646
15,0.6623,37943
15,0.6623,35372
15,0.6615,22121
15,0.6594,10846
15,0.6594,13125
15,0.6583,10922
15,0.6583,10978
15,0.6583,15480
15,0.6581,26627
15,0.6565,24308
15,0.655,21533
15,0.655,9314
16,0.8806,5461
16,0.8773,5460
16,0.8576,5477
16,0.8546,2173
16,0.8481,3590
16,0.8441,3981
16,0.8441,5491
16,0.8411,1441
16,0.838,3601
16,0.837,5381
16,0.8368,2497
16,0.8333,583
16,0.8284,3366
16,0.827,6258
16,0.8266,5024
16,0.8234,7393
16,0.8209,355
16,0.8177,5413
16,0.8177,7836
16,0.8145,5772
16,0.8141,463
16,0.8098,8502
16,0.8089,6479
16,0.8085,3554
16,0.8079,5415
16,0.8048,4400
16,0.8026,9098
16,0.799,5061
16,0.799,6500
16,0.7986,207
16,0.7986,3723
16,0.7986,28113
16,0.7973,609
16,0.7973,4179
16,0.7956,4293
16,0.795,4650
16,0.7944,5013
16,0.7939,2452
16,0.7936,393
16,0.7925,3383
16,0.7917,394
16,0.7917,5170
16,0.7917,6524
16,0.7909,1100
16,0.7908,2797
16,0.7908,5443
16,0.7908,6066
16,0.7899,2627
16,0.7899,6943
16,0.7897,6942
17,0.8177,24683
17,0.8135,22170
