
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"mayor [0.0089414426090869]","afi [0.00852394107026624]","fiscal [0.00874420516043848]","operating [0.00852954563677014]","economic [0.00850927254964877]","alliance [0.00819475271450154]","trustees [0.00729218136152216]","city [0.00841535864603093]","increase [0.00918101592864898]","budgets [0.00915309359540235]","private [0.00829942901350863]","organization [0.0089186286156448]",
"staff [0.00885691420255703]","institution [0.0083370845306392]","agency [0.00860041393444469]","latimer [0.00841877105403334]","received [0.00809608143315441]","local [0.00815332072285595]","national [0.0072346733284164]","organization [0.00835202369262238]","policy [0.00888546631482533]","received [0.00873354437269278]","institution [0.00815821429834884]","giving [0.00865679332687104]",
"business [0.00874860516912297]","help [0.00817787616800991]","plan [0.00848169404783083]","government [0.00835652142131678]","ms [0.00799333175117693]","humanities [0.00807091983064692]","major [0.00715040186720504]","nonprofit [0.0083011243994165]","private [0.00789408412400202]","nonprofit [0.00856494012820668]","donors [0.00809426208987076]","opera [0.00845761496227033]",
"receive [0.00857813728094003]","we [0.00817668991391179]","state [0.00842338698566751]","trustee [0.00830392511716981]","opera [0.00787741150002249]","gifts [0.00806538886732016]","donors [0.00709046244554508]","agencies [0.00814521867501974]","agencies [0.00788674266119082]","companies [0.00838221142851799]","opera [0.00804468479255278]","received [0.00829038647140516]",
"increase [0.00840437408143448]","community [0.00797511009688889]","mayor [0.00838597818060604]","city [0.00824899889937347]","morris [0.00785090775534545]","private [0.00806032086562945]","humanities [0.00707217632715861]","university [0.00808177472018762]","expenses [0.00780700546510835]","services [0.00828622755235607]","smaller [0.00762033444729491]","study [0.00811787205915175]",
"raise [0.00836818776317241]","members [0.00791474846601846]","museums [0.00832059650447768]","humanities [0.00792895963831596]","institution [0.00776591245006926]","appointed [0.00802905103336272]","announced [0.00696815460514474]","members [0.00772856970163399]","langsam [0.00772464231395161]","hackney [0.00796358376885088]","government [0.00753574973414987]","national [0.00804547079678684]",
"government [0.0082827634146884]","museums [0.00768916296453037]","graham [0.00820728666578455]","schools [0.00774252530425893]","agencies [0.00764516483225018]","members [0.00776898198493607]","government [0.00691565511364398]","boards [0.007687717773355]","nonprofit [0.00770668494568751]","national [0.00789497523242336]","plan [0.00753431339702019]","center [0.00790255732797542]",
"national [0.00815216951997043]","announced [0.00762149827472117]","management [0.00811321716317776]","members [0.00760124939258255]","expenses [0.0075890095658487]","major [0.00766275566189234]","committee [0.00671172104029691]","wallace [0.00741163343097643]","westchester [0.00769025714211593]","government [0.00767710459175076]","campaign [0.00746324129959696]","program [0.00788862726527183]",
"state [0.00809274967011852]","performing [0.00742222539351847]","members [0.00801889395470149]","raising [0.00754087547721386]","profit [0.00749731862835211]","received [0.00759075336896771]","administrators [0.00650654233982668]","operating [0.00724094599700979]","morris [0.00748011497726142]","agencies [0.00756667258624193]","national [0.00740678869704708]","development [0.00784599941253125]",
"donors [0.00799647208109117]","task [0.00735210567077838]","income [0.00777562909242122]","management [0.00737604432802136]","state [0.00748494471046365]","operating [0.00753827135269869]","local [0.00641691456442346]","cheney [0.00718355197999623]","center [0.00745998840062878]","endowments [0.007230585324455]","district [0.00740577067673054]","contributions [0.00783693902139578]",
