"doc","topic","docprop","source","year"
1884,10,0.804918032786885,"SETL",1992
1884,11,0.0114754098360656,"SETL",1992
1885,3,0.66025641025641,"SETL",1992
1885,4,0.0769230769230769,"SETL",1992
1885,8,0.230769230769231,"SETL",1992
1885,11,0.032051282051282,"SETL",1992
1886,3,0.409836065573771,"SETL",1992
1886,4,0.508196721311475,"SETL",1992
1886,10,0.0655737704918033,"SETL",1992
1886,11,0.0163934426229508,"SETL",1992
1887,2,0.00280112044817927,"SETL",1992
1887,3,0.829131652661064,"SETL",1992
1887,4,0.148459383753501,"SETL",1992
1887,11,0.0196078431372549,"SETL",1992
1888,2,0.579439252336449,"SETL",1992
1888,4,0.00311526479750779,"SETL",1992
1888,5,0.0384215991692627,"SETL",1992
1888,6,0.00103842159916926,"SETL",1992
1888,7,0.375908618899273,"SETL",1992
1888,11,0.00207684319833853,"SETL",1992
1889,2,0.441919191919192,"SETL",1992
1889,5,0.436868686868687,"SETL",1992
1889,9,0.113636363636364,"SETL",1992
1889,11,0.00757575757575758,"SETL",1992
1890,1,0.196382428940568,"SETL",1992
1890,2,0.00258397932816537,"SETL",1992
1890,3,0.0723514211886305,"SETL",1992
1890,4,0.0155038759689922,"SETL",1992
1890,5,0.408268733850129,"SETL",1992
1890,6,0.041343669250646,"SETL",1992
1890,7,0.00775193798449612,"SETL",1992
1890,8,0.165374677002584,"SETL",1992
1890,11,0.0904392764857881,"SETL",1992
1891,0,0.615960099750623,"SETL",1992
1891,1,0.0723192019950125,"SETL",1992
1891,3,0.0648379052369077,"SETL",1992
1891,4,0.00748129675810474,"SETL",1992
1891,5,0.00997506234413965,"SETL",1992
1891,7,0.0498753117206983,"SETL",1992
1891,11,0.179551122194514,"SETL",1992
1892,1,0.0958904109589041,"SETL",1992
1892,2,0.0171232876712329,"SETL",1992
1892,5,0.386986301369863,"SETL",1992
1892,8,0.023972602739726,"SETL",1992
1892,9,0.181506849315068,"SETL",1992
1892,10,0.154109589041096,"SETL",1992
1892,11,0.14041095890411,"SETL",1992
1893,5,0.0734463276836158,"SETL",1992
1893,6,0.0546139359698682,"SETL",1992
1893,7,0.649717514124294,"SETL",1992
1893,8,0.0602636534839925,"SETL",1992
1893,10,0.135593220338983,"SETL",1992
1893,11,0.0263653483992467,"SETL",1992
1894,1,0.00180831826401447,"SETL",1992
1894,2,0.439421338155515,"SETL",1992
1894,5,0.155515370705244,"SETL",1992
1894,7,0.00180831826401447,"SETL",1992
1894,9,0.397830018083183,"SETL",1992
1894,11,0.00361663652802893,"SETL",1992
1895,0,0.0507152145643693,"SETL",1992
1895,1,0.00260078023407022,"SETL",1992
1895,2,0.0273081924577373,"SETL",1992
1895,3,0.00910273081924577,"SETL",1992
1895,5,0.18075422626788,"SETL",1992
1895,8,0.47074122236671,"SETL",1992
1895,9,0.214564369310793,"SETL",1992
1895,11,0.0442132639791938,"SETL",1992
1896,0,0.178482068390325,"SETL",1992
1896,2,0.000834028356964137,"SETL",1992
1896,3,0.00583819849874896,"SETL",1992
1896,4,0.155129274395329,"SETL",1992
1896,10,0.64720600500417,"SETL",1992
1896,11,0.0125104253544621,"SETL",1992
1897,3,0.338658146964856,"SETL",1992
1897,4,0.549520766773163,"SETL",1992
1897,5,0.00319488817891374,"SETL",1992
1897,6,0.00958466453674121,"SETL",1992
1897,11,0.0990415335463259,"SETL",1992
1898,0,0.0560859188544153,"SETL",1992
1898,3,0.0906921241050119,"SETL",1992
1898,4,0.0441527446300716,"SETL",1992
1898,10,0.778042959427208,"SETL",1992
1898,11,0.0310262529832936,"SETL",1992
1899,2,0.0188679245283019,"SETL",1992
1899,3,0.858490566037736,"SETL",1992
1899,5,0.10377358490566,"SETL",1992
1899,11,0.0188679245283019,"SETL",1992
1900,1,0.00584795321637427,"SETL",1992
1900,3,0.274853801169591,"SETL",1992
1900,6,0.0467836257309941,"SETL",1992
1900,8,0.00584795321637427,"SETL",1992
1900,10,0.654970760233918,"SETL",1992
1900,11,0.0116959064327485,"SETL",1992
1901,0,0.795180722891566,"SETL",1992
1901,8,0.204819277108434,"SETL",1992
1902,3,0.01,"SETL",1992
1902,6,0.5725,"SETL",1992
1902,7,0.1375,"SETL",1992
1902,10,0.245,"SETL",1992
1902,11,0.035,"SETL",1992
1903,0,0.908616187989556,"SETL",1992
1903,2,0.00783289817232376,"SETL",1992
1903,10,0.0678851174934726,"SETL",1992
1903,11,0.0156657963446475,"SETL",1992
1904,2,0.121321321321321,"SETL",1992
1904,4,0.0024024024024024,"SETL",1992
